Day,Hour,Power,TMP,WNDCHILL,WNDSPD,Humidity,PRMSL,RAIN,Season,weekday
2018-01-02,0,0,,,,,,,Winter,2
2018-01-02,1,0,,,,,,,Winter,2
2018-01-02,2,0,,,,,,,Winter,2
2018-01-02,3,0,,,,,,,Winter,2
2018-01-02,4,0,,,,,,,Winter,2
2018-01-02,5,0,5.6,3.5,9.3,74.0,1019.3,0.0,Winter,2
2018-01-02,6,0,5.6,4.5,5.6,73.0,1020.0,0.0,Winter,2
2018-01-02,7,0,5.3,4.2,5.6,76.0,1020.9,0.0,Winter,2
2018-01-02,8,0,5.5,3.4,9.3,73.0,1021.5,0.0,Winter,2
2018-01-02,9,0,6.1,5.1,5.6,69.0,1022.3,0.0,Winter,2
2018-01-02,10,0,6.8,4.6,11.1,66.0,1022.9,0.0,Winter,2
2018-01-02,11,0,6.8,5.0,9.3,65.0,1022.4,0.0,Winter,2
2018-01-02,12,0,6.7,4.1,13.0,68.0,1021.5,0.0,Winter,2
2018-01-02,13,14408.601553199933,5.8,2.5,16.7,79.0,1021.2,0.0,Winter,2
2018-01-02,14,14408.601553199933,5.8,3.8,9.3,80.0,1021.4,0.0,Winter,2
2018-01-02,15,970.6354515050167,5.9,4.3,7.4,82.0,1021.5,0.0,Winter,2
2018-01-02,16,970.6354515050167,5.8,4.8,5.6,83.0,1020.8,0.0,Winter,2
2018-01-02,17,970.6354515050167,5.9,3.5,11.1,83.0,1020.1,0.0,Winter,2
2018-01-02,18,970.6354515050167,6.0,3.3,13.0,79.0,1020.6,0.0,Winter,2
2018-01-02,19,0,6.0,3.0,14.8,77.0,1020.5,0.0,Winter,2
2018-01-02,20,0,4.9,2.0,13.0,81.0,1020.7,0.0,Winter,2
2018-01-02,21,0,4.9,2.0,13.0,83.0,1020.8,0.0,Winter,2
2018-01-02,22,0,4.9,3.2,7.4,86.0,1020.2,0.1,Winter,2
2018-01-02,23,0,4.0,4.0,3.7,87.0,1020.0,0.0,Winter,2
2018-01-03,0,0,,,,,,,Winter,3
2018-01-03,1,0,,,,,,,Winter,3
2018-01-03,2,0,,,,,,,Winter,3
2018-01-03,3,0,,,,,,,Winter,3
2018-01-03,4,0,,,,,,,Winter,3
2018-01-03,5,1776.1904761904764,6.4,4.5,9.3,90.0,1012.8,0.1,Winter,3
2018-01-03,6,1776.1904761904764,7.1,6.3,5.6,91.0,1011.0,0.3,Winter,3
2018-01-03,7,12644.75138121547,7.2,5.1,11.1,94.0,1010.1,0.7,Winter,3
2018-01-03,8,16517.45345973741,8.6,5.6,20.4,94.0,1009.2,0.2,Winter,3
2018-01-03,9,33044.65345973741,11.5,9.8,14.8,80.0,1006.9,0.1,Winter,3
2018-01-03,10,47542.83366127861,10.5,7.5,25.9,89.0,1009.7,1.0,Winter,3
2018-01-03,11,36695.37957736044,11.3,8.7,24.1,71.0,1010.6,0.4,Winter,3
2018-01-03,12,20168.179577360435,11.2,8.3,27.8,62.0,1010.9,0.0,Winter,3
2018-01-03,13,7523.73942292028,7.3,4.9,13.0,81.0,1013.8,2.0,Winter,3
2018-01-03,14,7523.73942292028,7.0,5.2,9.3,83.0,1015.4,0.0,Winter,3
2018-01-03,15,3872.70207852194,8.1,6.5,9.3,74.0,1014.8,0.0,Winter,3
2018-01-03,16,1024.6451612903227,8.4,6.2,13.0,64.0,1015.4,0.0,Winter,3
2018-01-03,17,1024.6451612903227,7.8,6.6,7.4,69.0,1015.3,0.0,Winter,3
2018-01-03,18,1024.6451612903227,7.5,5.1,13.0,69.0,1015.8,0.0,Winter,3
2018-01-03,19,0,7.6,5.0,14.8,69.0,1016.6,0.0,Winter,3
2018-01-03,20,3290.0,7.8,5.5,13.0,66.0,1015.8,0.0,Winter,3
2018-01-03,21,3290.0,7.7,5.7,11.1,68.0,1016.2,0.0,Winter,3
2018-01-03,22,3290.0,7.0,4.8,11.1,77.0,1015.9,0.6,Winter,3
2018-01-03,23,0,6.4,4.5,9.3,81.0,1015.9,1.0,Winter,3
2018-01-04,0,0,,,,,,,Winter,4
2018-01-04,1,0,5.2,3.1,9.3,89.0,1014.5,2.0,Winter,4
2018-01-04,2,0,4.4,1.3,13.0,91.0,1014.4,1.0,Winter,4
2018-01-04,3,0,4.5,1.8,11.1,91.0,1013.9,0.8,Winter,4
2018-01-04,4,0,4.3,1.6,11.1,91.0,1013.4,0.6,Winter,4
2018-01-04,5,1792.7586206896553,4.6,1.0,16.7,91.0,1012.5,0.2,Winter,4
2018-01-04,6,1792.7586206896553,4.5,2.2,9.3,95.0,1012.0,2.0,Winter,4
2018-01-04,7,2083.6697247706425,4.8,3.1,7.4,96.0,1011.5,0.7,Winter,4
2018-01-04,8,4599.656346844222,5.1,4.0,5.6,95.0,1011.2,1.0,Winter,4
2018-01-04,9,8841.16319615929,5.7,4.1,7.4,95.0,1011.3,0.9,Winter,4
2018-01-04,10,12766.318711529995,6.4,6.4,3.7,95.0,1010.8,2.0,Winter,4
2018-01-04,11,12766.318711529995,7.7,6.4,7.4,96.0,1010.6,2.0,Winter,4
2018-01-04,12,15536.41515224324,9.4,7.7,11.1,93.0,1010.4,1.0,Winter,4
2018-01-04,13,11158.60257032974,11.0,9.7,11.1,87.0,1010.1,0.5,Winter,4
2018-01-04,14,35122.834178724224,11.4,9.9,13.0,85.0,1009.6,0.3,Winter,4
2018-01-04,15,41749.28651308262,11.4,9.7,14.8,83.0,1009.5,0.5,Winter,4
2018-01-04,16,28744.933953376938,11.0,9.0,16.7,86.0,1009.9,0.6,Winter,4
2018-01-04,17,729.0566037735849,11.1,9.3,14.8,83.0,1009.8,0.5,Winter,4
2018-01-04,18,729.0566037735849,10.7,9.6,9.3,88.0,1009.9,0.8,Winter,4
2018-01-04,19,0,11.9,10.5,13.0,76.0,1009.0,0.1,Winter,4
2018-01-04,20,0,11.2,9.9,11.1,81.0,1009.1,0.2,Winter,4
2018-01-04,21,0,11.1,10.1,9.3,81.0,1009.6,0.2,Winter,4
2018-01-04,22,0,11.1,10.4,7.4,77.0,1008.8,0.1,Winter,4
2018-01-04,23,0,9.9,8.1,13.0,90.0,1009.3,0.5,Winter,4
2018-01-05,0,0,9.9,8.3,11.1,89.0,1009.1,0.3,Winter,5
2018-01-05,1,0,9.8,7.7,14.8,90.0,1009.2,0.4,Winter,5
2018-01-05,2,0,9.8,7.7,14.8,90.0,1009.5,0.6,Winter,5
2018-01-05,3,0,9.9,8.1,13.0,89.0,1009.2,0.2,Winter,5
2018-01-05,4,0,10.1,8.9,9.3,87.0,1008.6,0.0,Winter,5
2018-01-05,5,0,9.7,9.2,5.6,87.0,1008.0,0.0,Winter,5
2018-01-05,6,0,9.2,9.2,3.7,88.0,1007.3,0.0,Winter,5
2018-01-05,7,529.8795180722891,8.8,8.8,3.7,90.0,1006.6,0.0,Winter,5
2018-01-05,8,10144.016312221673,9.0,8.4,5.6,87.0,1006.5,0.0,Winter,5
2018-01-05,9,10144.016312221673,8.8,8.8,1.9,89.0,1006.3,0.0,Winter,5
2018-01-05,10,19966.873455078814,9.3,9.3,3.7,88.0,1006.2,0.0,Winter,5
2018-01-05,11,19966.873455078814,9.3,8.8,5.6,84.0,1005.8,0.0,Winter,5
2018-01-05,12,9775.634591506212,9.6,9.6,3.7,87.0,1005.7,0.1,Winter,5
2018-01-05,13,9775.634591506212,10.3,9.9,5.6,82.0,1005.2,0.1,Winter,5
2018-01-05,14,8150.108275716738,10.6,10.3,5.6,79.0,1004.4,0.0,Winter,5
2018-01-05,15,26778.87350088156,10.9,10.9,3.7,78.0,1004.3,0.0,Winter,5
2018-01-05,16,18790.26302252165,9.9,9.9,3.7,86.0,1004.4,0.1,Winter,5
2018-01-05,17,18628.76522516482,10.3,10.3,3.7,86.0,1004.6,2.0,Winter,5
2018-01-05,18,27969.23581340012,9.9,9.9,3.7,88.0,1004.9,0.0,Winter,5
2018-01-05,19,9340.470588235296,9.0,8.4,5.6,91.0,1004.9,0.0,Winter,5
2018-01-05,20,9340.470588235296,9.5,9.5,3.7,89.0,1004.8,0.0,Winter,5
2018-01-05,21,9340.470588235296,9.4,9.4,3.7,87.0,1005.0,0.0,Winter,5
2018-01-05,22,9340.470588235296,9.3,9.3,3.7,87.0,1005.4,0.0,Winter,5
2018-01-05,23,0,9.3,9.3,3.7,87.0,1005.7,0.0,Winter,5
2018-01-06,0,0,9.3,9.3,3.7,87.0,1005.6,0.0,Winter,6
2018-01-06,1,0,8.9,8.9,3.7,89.0,1005.6,0.0,Winter,6
2018-01-06,2,0,9.2,8.7,5.6,88.0,1005.1,0.4,Winter,6
2018-01-06,3,0,8.6,8.6,1.9,91.0,1005.0,0.0,Winter,6
2018-01-06,4,0,8.0,8.0,0.0,93.0,1004.9,0.0,Winter,6
2018-01-06,5,0,7.7,7.7,1.9,92.0,1005.1,0.0,Winter,6
2018-01-06,6,0,7.3,7.3,1.9,94.0,1005.1,0.0,Winter,6
2018-01-06,7,0,7.0,7.0,0.0,93.0,1005.6,0.0,Winter,6
2018-01-06,8,0,7.5,7.5,0.0,93.0,1005.7,0.0,Winter,6
