Year;Month;Day;Hour;TMP;WNDCHILL;DPT;WNDCARD;WNDSPD;WNDMEAN;WNDGUST;HR;PRMSL;VISIBILITY;TCDC;RAIN;COND
2016;05;01;00:00;5.4;5.4;4.9;SE;3.7;7.4;16.7;97;1017.8;--;--;2/1h, 9/6h, ;--
2016;05;01;01:00;5.1;5.1;4.8;E;3.7;3.7;7.4;98;1017.4;--;--;2/1h, ;--
2016;05;01;02:00;5.0;5.0;4.6;SE;3.7;3.7;7.4;97;1017.5;--;--;2/1h, ;--
2016;05;01;03:00;5.0;5.0;4.8;Calme;0.0;3.7;7.4;99;1017.2;--;--;1/1h, ;--
2016;05;01;04:00;5.0;5.0;4.6;SSO;1.9;3.7;7.4;97;1017.2;--;--;1/1h, ;--
2016;05;01;05:00;4.9;4.9;2.8;Calme;0.0;3.7;5.6;86;1017.8;--;--;0.6/1h, ;--
2016;05;01;06:00;4.9;4.9;2.9;ESE;1.9;3.7;7.4;87;1018.3;--;--;0.3/1h, 17/12h, 22.4/24h, ;--
2016;05;01;07:00;5.3;5.3;3.6;Calme;0.0;3.7;7.4;89;1018.6;--;--;0.1/1h, ;--
2016;05;01;08:00;6.2;6.2;3.4;ENE;1.9;5.6;9.3;82;1018.6;--;--;0/1h, ;--
2016;05;01;09:00;6.5;6.5;3.9;SE;3.7;5.6;9.3;83;1018.9;--;--;0/1h, ;--
2016;05;01;10:00;6.9;6.9;3.7;SSO;3.7;3.7;9.3;80;1019.2;--;--;0/1h, ;--
2016;05;01;11:00;7.4;6.6;4.1;O;5.6;5.6;13.0;80;1019.3;--;--;0/1h, ;--
2016;05;01;12:00;7.1;5.7;3.9;N;7.4;7.4;18.5;80;1020.3;--;--;0.2/1h, 0.3/6h, ;--
2016;05;01;13:00;7.5;6.2;4.0;N;7.4;7.4;18.5;78;1020.6;--;--;0.1/1h, ;--
2016;05;01;14:00;7.6;5.9;3.7;N;9.3;9.3;22.2;76;1020.9;--;--;0/1h, ;--
2016;05;01;15:00;8.3;6.7;3.9;N;9.3;9.3;22.2;74;1021.3;--;--;0/1h, ;--
2016;05;01;16:00;7.9;6.3;4.0;N;9.3;11.1;25.9;76;1021.6;--;--;0/1h, ;--
2016;05;01;17:00;8.0;8.0;3.9;N;3.7;9.3;22.2;75;1022.2;--;--;0/1h, ;--
2016;05;01;18:00;7.9;7.9;3.9;N;3.7;11.1;25.9;76;1022.5;--;--;0/1h, 0.4/12h, ;--
2016;05;01;19:00;7.8;7.8;3.8;ESE;1.9;5.6;16.7;76;1023.0;--;--;0/1h, ;--
2016;05;01;20:00;6.7;6.7;5.4;E;1.9;1.9;5.6;91;1024.1;--;--;2/1h, ;--
2016;05;01;21:00;6.4;6.4;5.5;E;3.7;5.6;16.7;94;1024.1;--;--;0.6/1h, ;--
2016;05;01;22:00;6.5;6.5;5.0;N;3.7;3.7;7.4;90;1023.8;--;--;0.3/1h, ;--
2016;05;01;23:00;6.2;6.2;5.4;NNE;1.9;5.6;7.4;95;1023.7;--;--;0.5/1h, ;--
2016;05;02;00:00;6.6;6.6;5.6;N;3.7;5.6;16.7;93;1023.2;--;--;0.3/1h, 3/6h, ;--
2016;05;02;01:00;6.6;6.6;5.8;Calme;0.0;5.6;9.3;95;1022.6;--;--;0/1h, ;--
2016;05;02;02:00;6.8;6.8;5.8;NNO;1.9;3.7;5.6;93;1022.4;--;--;0/1h, ;--
2016;05;02;03:00;7.4;6.6;5.2;NE;5.6;5.6;14.8;86;1021.9;--;--;0/1h, ;--
2016;05;02;04:00;7.3;5.2;5.1;NE;11.1;11.1;20.4;86;1021.7;--;--;0/1h, ;--
2016;05;02;05:00;7.6;5.9;5.5;NE;9.3;11.1;25.9;87;1022.0;--;--;0/1h, ;--
2016;05;02;06:00;8.2;7;5.9;NE;7.4;11.1;25.9;85;1022.1;--;--;0/1h, 3/12h, 3.8/24h, ;--
2016;05;02;07:00;9.4;8.4;6.2;NE;7.4;9.3;24.1;80;1021.4;--;--;0/1h, ;--
2016;05;02;08:00;10.5;8.8;6.6;NE;13.0;13.0;31.5;77;1021.3;--;--;0/1h, ;--
2016;05;02;09:00;11.1;9.8;6.9;NE;11.1;14.8;33.3;75;1021.1;--;--;0/1h, ;--
2016;05;02;10:00;12.2;10.9;7.1;NNE;13.0;13.0;33.3;71;1020.4;--;--;0/1h, ;--
2016;05;02;11:00;13.6;12.8;7.7;N;11.1;16.7;40.7;67;1019.6;--;--;0/1h, ;--
2016;05;02;12:00;14.6;13.6;7.7;NE;14.8;16.7;40.7;63;1019.3;--;--;0/1h, 0/6h, ;--
2016;05;02;13:00;15.0;13.9;6.8;NNE;16.7;16.7;42.6;58;1019.4;--;--;0/1h, ;--
2016;05;02;14:00;15.9;15.2;6.2;NNE;14.8;14.8;40.7;52;1019.2;--;--;0/1h, ;--
2016;05;02;15:00;15.9;15.4;5.7;NNE;13.0;16.7;42.6;51;1019.3;--;--;0/1h, ;--
2016;05;02;16:00;16.0;15.7;5.7;NNE;11.1;11.1;33.3;50;1018.9;--;--;0/1h, ;--
2016;05;02;17:00;15.5;15.1;5.2;NNE;11.1;11.1;29.6;50;1019.1;--;--;0/1h, ;--
2016;05;02;18:00;14.7;14.7;4.6;N;5.6;16.7;42.6;51;1019.5;--;--;0/1h, 0/12h, ;--
2016;05;02;19:00;12.5;12.5;5.2;N;3.7;5.6;9.3;61;1020.4;--;--;0/1h, ;--
2016;05;02;20:00;11.7;10.5;5.1;N;11.1;11.1;18.5;64;1020.6;--;--;0/1h, ;--
2016;05;02;21:00;11.5;10.9;5.0;N;7.4;11.1;20.4;64;1021.0;--;--;0/1h, ;--
2016;05;02;22:00;11.5;11.5;4.8;NE;3.7;11.1;16.7;63;1021.6;--;--;0/1h, ;--
2016;05;02;23:00;11.0;11.0;5.5;NNE;1.9;5.6;11.1;69;1021.3;--;--;0/1h, ;--
2016;05;03;00:00;11.1;10.4;5.8;N;7.4;11.1;20.4;70;1021.6;--;--;0/1h, 0/6h, ;--
2016;05;03;01:00;9.8;9.4;6.3;NNE;5.6;7.4;13.0;79;1021.3;--;--;0/1h, ;--
2016;05;03;02:00;9.2;8.7;5.4;NNE;5.6;7.4;11.1;77;1021.6;--;--;0/1h, ;--
2016;05;03;03:00;8.8;7.7;5.5;N;7.4;7.4;13.0;80;1022.0;--;--;0/1h, ;--
2016;05;03;04:00;8.7;8.1;5.4;NNE;5.6;7.4;13.0;80;1021.9;--;--;0/1h, ;--
2016;05;03;05:00;8.8;8.8;5.8;NE;3.7;5.6;11.1;81;1022.3;--;--;0/1h, ;--
2016;05;03;06:00;9.5;9.5;6.8;Calme;0.0;7.4;13.0;83;1022.6;--;--;0/1h, 0/12h, 0/24h, ;--
2016;05;03;07:00;9.9;9.9;7.5;NNO;1.9;1.9;5.6;85;1022.8;--;--;0/1h, ;--
2016;05;03;08:00;10.6;10.6;7.1;S;3.7;5.6;9.3;79;1022.4;--;--;0/1h, ;--
2016;05;03;09:00;11.8;11.8;6.8;SSE;1.9;5.6;9.3;71;1022.1;--;--;0/1h, ;--
2016;05;03;10:00;12.1;12;6.1;SSO;5.6;7.4;11.1;67;1022.0;--;--;0/1h, ;--
2016;05;03;11:00;12.9;12.9;7.0;SO;3.7;3.7;11.1;67;1021.8;--;--;0/1h, ;--
2016;05;03;12:00;14.0;13.3;5.7;ONO;11.1;11.1;22.2;57;1021.6;--;--;0/1h, 0/6h, ;--
2016;05;03;13:00;12.3;10.6;6.5;NO;16.7;16.7;42.6;68;1022.6;--;--;0.2/1h, ;--
2016;05;03;14:00;11.6;10.4;6.9;NNO;11.1;16.7;29.6;73;1023.0;--;--;0.7/1h, ;--
2016;05;03;15:00;12.0;10.9;6.3;N;11.1;16.7;42.6;68;1023.5;--;--;0/1h, ;--
