Year;Month;Day;Hour;TMP;WNDCHILL;DPT;WNDCARD;WNDSPD;WNDMEAN;WNDGUST;HR;PRMSL;VISIBILITY;TCDC;RAIN;COND
2015;05;01;00:00;11.1;9.8;9.6;ONO;11.1;16.7;38.9;90;1013.6;--;--;0.8/1h, 3/6h, ;--
2015;05;01;01:00;10.9;9.5;9.8;ONO;11.1;13.0;27.8;93;1012.8;--;--;1/1h, ;--
2015;05;01;02:00;10.7;9.6;10.0;O;9.3;11.1;22.2;95;1012.1;--;--;4/1h, ;--
2015;05;01;03:00;10.6;10.3;10.1;O;5.6;13.0;27.8;97;1011.2;--;--;3/1h, ;--
2015;05;01;04:00;10.7;10.7;10.3;ONO;3.7;7.4;14.8;97;1010.7;--;--;3/1h, ;--
2015;05;01;05:00;10.9;10.9;10.5;NNO;3.7;3.7;11.1;97;1009.6;--;--;3/1h, ;--
2015;05;01;06:00;10.7;10.7;10.2;Calme;0.0;13.0;27.8;97;1009.3;--;--;3/1h, 20/12h, 19/24h, ;--
2015;05;01;07:00;11.5;11.5;10.9;Calme;0.0;0.0;1.9;96;1008.9;--;--;3/1h, ;--
2015;05;01;08:00;11.6;11.6;11.0;Calme;0.0;1.9;7.4;96;1008.8;--;--;4/1h, ;--
2015;05;01;09:00;11.7;11.7;11.2;Calme;0.0;1.9;7.4;97;1008.9;--;--;4/1h, ;--
2015;05;01;10:00;12.0;12.0;11.5;ENE;1.9;1.9;11.1;97;1009.0;--;--;3/1h, ;--
2015;05;01;11:00;12.3;12.3;11.5;SE;1.9;1.9;9.3;95;1009.0;--;--;3/1h, ;--
2015;05;01;12:00;12.7;12.7;11.6;ESE;1.9;5.6;13.0;93;1008.4;--;--;2/1h, 18/6h, ;--
2015;05;01;13:00;12.9;12.9;11.6;Calme;0.0;1.9;11.1;92;1008.2;--;--;1/1h, ;--
2015;05;01;14:00;12.6;12.6;11.7;Calme;0.0;0.0;5.6;94;1007.5;--;--;1/1h, ;--
2015;05;01;15:00;12.6;12.6;11.7;Calme;0.0;1.9;11.1;94;1006.9;--;--;3/1h, ;--
2015;05;01;16:00;12.6;12.6;11.8;Calme;0.0;0.0;3.7;95;1007.1;--;--;4/1h, ;--
2015;05;01;17:00;12.4;12.4;11.7;SE;3.7;3.7;13.0;95;1007.2;--;--;5/1h, ;--
2015;05;01;18:00;11.9;11.9;11.1;Calme;0.0;11.1;20.4;95;1007.4;--;--;5/1h, 37/12h, ;--
2015;05;01;19:00;12.3;12.3;11.6;Calme;0.0;1.9;9.3;95;1007.5;--;--;5/1h, ;--
2015;05;01;20:00;12.7;12.7;11.8;NNO;5.6;1.9;9.3;94;1008.5;--;--;0.6/1h, ;--
